
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=256
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: protein
Kernel mode: auto
Creating SAGE model...
Using MaxK-accelerated SAGE model
Model parameters: 425,072 total, 425,072 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 256, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 92.1517 | Train Accuracy 0.6171 | Val Accuracy 0.6177 | Test Accuracy 0.5856 | Best val. Accuracy 0.6177 | Best test Accuracy 0.5856
Epoch 0001/1000| Loss 133.6651 | Train Accuracy 0.3960 | Val Accuracy 0.3672 | Test Accuracy 0.4378 | Best val. Accuracy 0.6177 | Best test Accuracy 0.5856
Epoch 0002/1000| Loss 190.2681 | Train Accuracy 0.6123 | Val Accuracy 0.6040 | Test Accuracy 0.5709 | Best val. Accuracy 0.6177 | Best test Accuracy 0.5856
Epoch 0003/1000| Loss 289.8980 | Train Accuracy 0.4247 | Val Accuracy 0.3402 | Test Accuracy 0.4087 | Best val. Accuracy 0.6177 | Best test Accuracy 0.5856
Epoch 0004/1000| Loss 126.8585 | Train Accuracy 0.6373 | Val Accuracy 0.5601 | Test Accuracy 0.5186 | Best val. Accuracy 0.6177 | Best test Accuracy 0.5856
Epoch 0005/1000| Loss 136.6705 | Train Accuracy 0.5261 | Val Accuracy 0.5102 | Test Accuracy 0.5562 | Best val. Accuracy 0.6177 | Best test Accuracy 0.5856
Epoch 0006/1000| Loss 85.4726 | Train Accuracy 0.5008 | Val Accuracy 0.5306 | Test Accuracy 0.5789 | Best val. Accuracy 0.6177 | Best test Accuracy 0.5856
Epoch 0007/1000| Loss 102.3898 | Train Accuracy 0.4978 | Val Accuracy 0.5266 | Test Accuracy 0.5871 | Best val. Accuracy 0.6177 | Best test Accuracy 0.5856
Epoch 0008/1000| Loss 71.4225 | Train Accuracy 0.5892 | Val Accuracy 0.5807 | Test Accuracy 0.5945 | Best val. Accuracy 0.6177 | Best test Accuracy 0.5856
Epoch 0009/1000| Loss 52.5024 | Train Accuracy 0.5607 | Val Accuracy 0.5074 | Test Accuracy 0.4999 | Best val. Accuracy 0.6177 | Best test Accuracy 0.5856
Epoch 0010/1000| Loss 70.2513 | Train Accuracy 0.5245 | Val Accuracy 0.5256 | Test Accuracy 0.5461 | Best val. Accuracy 0.6177 | Best test Accuracy 0.5856
