
Parameters:
DATA_PATH=./data/
DATASET=ogbn-products
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=64
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating SAGE model...
Using standard DGL SAGE model
Model parameters: 431,919 total, 431,919 trainable
Graph statistics: 2449029 nodes, 123718280 edges
Average degree: 50.52
Feature dimension: 100, Hidden dimension: 256
MaxK value: 64, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 6.8559 | Train Accuracy 0.3084 | Val Accuracy 0.3083 | Test Accuracy 0.2694 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0001/1000| Loss 15.2411 | Train Accuracy 0.3083 | Val Accuracy 0.3083 | Test Accuracy 0.2678 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0002/1000| Loss 5.3232 | Train Accuracy 0.0802 | Val Accuracy 0.0817 | Test Accuracy 0.0665 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0003/1000| Loss 5.7737 | Train Accuracy 0.1209 | Val Accuracy 0.1202 | Test Accuracy 0.0957 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0004/1000| Loss 4.6149 | Train Accuracy 0.0021 | Val Accuracy 0.0028 | Test Accuracy 0.0040 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0005/1000| Loss 4.5217 | Train Accuracy 0.0546 | Val Accuracy 0.0570 | Test Accuracy 0.0501 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0006/1000| Loss 3.7521 | Train Accuracy 0.0761 | Val Accuracy 0.0725 | Test Accuracy 0.0551 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0007/1000| Loss 4.5039 | Train Accuracy 0.3943 | Val Accuracy 0.3958 | Test Accuracy 0.3276 | Best val. Accuracy 0.3958 | Best test Accuracy 0.3276
Epoch 0008/1000| Loss 2.7128 | Train Accuracy 0.3094 | Val Accuracy 0.3116 | Test Accuracy 0.2658 | Best val. Accuracy 0.3958 | Best test Accuracy 0.3276
Epoch 0009/1000| Loss 3.0885 | Train Accuracy 0.2832 | Val Accuracy 0.2857 | Test Accuracy 0.2462 | Best val. Accuracy 0.3958 | Best test Accuracy 0.3276
Epoch 0010/1000| Loss 2.5923 | Train Accuracy 0.5151 | Val Accuracy 0.5150 | Test Accuracy 0.3907 | Best val. Accuracy 0.5150 | Best test Accuracy 0.3907
Epoch 0011/1000| Loss 2.5522 | Train Accuracy 0.5478 | Val Accuracy 0.5507 | Test Accuracy 0.4231 | Best val. Accuracy 0.5507 | Best test Accuracy 0.4231
Epoch 0012/1000| Loss 2.2596 | Train Accuracy 0.5457 | Val Accuracy 0.5455 | Test Accuracy 0.4232 | Best val. Accuracy 0.5507 | Best test Accuracy 0.4231
