
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=8
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gcn
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating GCN model...
Using standard DGL GCN model
Model parameters: 229,232 total, 229,232 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 8, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 0.7232 | Train Accuracy 0.4812 | Val Accuracy 0.4752 | Test Accuracy 0.4662 | Best val. Accuracy 0.4752 | Best test Accuracy 0.4662
Epoch 0001/1000| Loss 0.6905 | Train Accuracy 0.4116 | Val Accuracy 0.4060 | Test Accuracy 0.4405 | Best val. Accuracy 0.4752 | Best test Accuracy 0.4662
Epoch 0002/1000| Loss 0.6330 | Train Accuracy 0.3811 | Val Accuracy 0.3716 | Test Accuracy 0.4067 | Best val. Accuracy 0.4752 | Best test Accuracy 0.4662
Epoch 0003/1000| Loss 0.5535 | Train Accuracy 0.3656 | Val Accuracy 0.3443 | Test Accuracy 0.3870 | Best val. Accuracy 0.4752 | Best test Accuracy 0.4662
Epoch 0004/1000| Loss 0.5065 | Train Accuracy 0.3998 | Val Accuracy 0.3433 | Test Accuracy 0.3815 | Best val. Accuracy 0.4752 | Best test Accuracy 0.4662
Epoch 0005/1000| Loss 0.4544 | Train Accuracy 0.4340 | Val Accuracy 0.3567 | Test Accuracy 0.3816 | Best val. Accuracy 0.4752 | Best test Accuracy 0.4662
Epoch 0006/1000| Loss 0.4272 | Train Accuracy 0.4476 | Val Accuracy 0.3663 | Test Accuracy 0.4082 | Best val. Accuracy 0.4752 | Best test Accuracy 0.4662
Epoch 0007/1000| Loss 0.4075 | Train Accuracy 0.4637 | Val Accuracy 0.3541 | Test Accuracy 0.3891 | Best val. Accuracy 0.4752 | Best test Accuracy 0.4662
Epoch 0008/1000| Loss 0.3901 | Train Accuracy 0.4772 | Val Accuracy 0.3688 | Test Accuracy 0.3977 | Best val. Accuracy 0.4752 | Best test Accuracy 0.4662
Epoch 0009/1000| Loss 0.3749 | Train Accuracy 0.4974 | Val Accuracy 0.4110 | Test Accuracy 0.4116 | Best val. Accuracy 0.4752 | Best test Accuracy 0.4662
Epoch 0010/1000| Loss 0.3631 | Train Accuracy 0.5342 | Val Accuracy 0.4951 | Test Accuracy 0.4606 | Best val. Accuracy 0.4951 | Best test Accuracy 0.4606
Epoch 0011/1000| Loss 0.3562 | Train Accuracy 0.5326 | Val Accuracy 0.5356 | Test Accuracy 0.5272 | Best val. Accuracy 0.5356 | Best test Accuracy 0.5272
Epoch 0012/1000| Loss 0.3547 | Train Accuracy 0.6698 | Val Accuracy 0.6808 | Test Accuracy 0.6393 | Best val. Accuracy 0.6808 | Best test Accuracy 0.6393
Epoch 0013/1000| Loss 0.3466 | Train Accuracy 0.6545 | Val Accuracy 0.6923 | Test Accuracy 0.6311 | Best val. Accuracy 0.6923 | Best test Accuracy 0.6311
Epoch 0014/1000| Loss 0.3385 | Train Accuracy 0.6970 | Val Accuracy 0.6863 | Test Accuracy 0.6304 | Best val. Accuracy 0.6923 | Best test Accuracy 0.6311
Epoch 0015/1000| Loss 0.3337 | Train Accuracy 0.6876 | Val Accuracy 0.6883 | Test Accuracy 0.6469 | Best val. Accuracy 0.6923 | Best test Accuracy 0.6311
Epoch 0016/1000| Loss 0.3326 | Train Accuracy 0.7178 | Val Accuracy 0.7048 | Test Accuracy 0.6518 | Best val. Accuracy 0.7048 | Best test Accuracy 0.6518
Epoch 0017/1000| Loss 0.3245 | Train Accuracy 0.7111 | Val Accuracy 0.7145 | Test Accuracy 0.6618 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0018/1000| Loss 0.3288 | Train Accuracy 0.7224 | Val Accuracy 0.7046 | Test Accuracy 0.6342 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0019/1000| Loss 0.3240 | Train Accuracy 0.7198 | Val Accuracy 0.7125 | Test Accuracy 0.6625 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0020: Avg Forward 38.953ms, Avg Backward 32.407ms, Total per epoch 71.360ms
Epoch 0020/1000| Loss 0.3233 | Train Accuracy 0.7206 | Val Accuracy 0.7126 | Test Accuracy 0.6666 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0021/1000| Loss 0.3213 | Train Accuracy 0.7084 | Val Accuracy 0.7040 | Test Accuracy 0.6656 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0022/1000| Loss 0.3245 | Train Accuracy 0.7099 | Val Accuracy 0.7031 | Test Accuracy 0.6633 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0023/1000| Loss 0.3232 | Train Accuracy 0.7201 | Val Accuracy 0.7083 | Test Accuracy 0.6674 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0024/1000| Loss 0.3194 | Train Accuracy 0.7264 | Val Accuracy 0.7111 | Test Accuracy 0.6669 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0025/1000| Loss 0.3202 | Train Accuracy 0.7098 | Val Accuracy 0.6974 | Test Accuracy 0.6638 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0026/1000| Loss 0.3295 | Train Accuracy 0.7322 | Val Accuracy 0.7043 | Test Accuracy 0.6421 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0027/1000| Loss 0.3208 | Train Accuracy 0.7334 | Val Accuracy 0.7126 | Test Accuracy 0.6631 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0028/1000| Loss 0.3198 | Train Accuracy 0.7156 | Val Accuracy 0.6989 | Test Accuracy 0.6655 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0029/1000| Loss 0.3190 | Train Accuracy 0.7218 | Val Accuracy 0.6997 | Test Accuracy 0.6589 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0030/1000| Loss 0.3170 | Train Accuracy 0.6950 | Val Accuracy 0.6727 | Test Accuracy 0.6502 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0031/1000| Loss 0.3330 | Train Accuracy 0.7318 | Val Accuracy 0.6969 | Test Accuracy 0.6495 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0032/1000| Loss 0.3242 | Train Accuracy 0.7340 | Val Accuracy 0.7052 | Test Accuracy 0.6486 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0033/1000| Loss 0.3166 | Train Accuracy 0.7244 | Val Accuracy 0.7125 | Test Accuracy 0.6704 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0034/1000| Loss 0.3331 | Train Accuracy 0.7182 | Val Accuracy 0.7015 | Test Accuracy 0.6602 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0035/1000| Loss 0.3242 | Train Accuracy 0.7124 | Val Accuracy 0.7036 | Test Accuracy 0.6591 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0036/1000| Loss 0.3320 | Train Accuracy 0.7382 | Val Accuracy 0.7089 | Test Accuracy 0.6493 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0037/1000| Loss 0.3158 | Train Accuracy 0.7372 | Val Accuracy 0.7141 | Test Accuracy 0.6767 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0038/1000| Loss 0.3144 | Train Accuracy 0.7383 | Val Accuracy 0.7130 | Test Accuracy 0.6749 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0039/1000| Loss 0.3155 | Train Accuracy 0.7409 | Val Accuracy 0.7110 | Test Accuracy 0.6577 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0040: Avg Forward 38.738ms, Avg Backward 32.435ms, Total per epoch 71.174ms
Epoch 0040/1000| Loss 0.3119 | Train Accuracy 0.7340 | Val Accuracy 0.7115 | Test Accuracy 0.6615 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0041/1000| Loss 0.3160 | Train Accuracy 0.7378 | Val Accuracy 0.7012 | Test Accuracy 0.6496 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0042/1000| Loss 0.3150 | Train Accuracy 0.7169 | Val Accuracy 0.6934 | Test Accuracy 0.6651 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0043/1000| Loss 0.3218 | Train Accuracy 0.7284 | Val Accuracy 0.7042 | Test Accuracy 0.6705 | Best val. Accuracy 0.7145 | Best test Accuracy 0.6618
Epoch 0044/1000| Loss 0.3146 | Train Accuracy 0.7437 | Val Accuracy 0.7160 | Test Accuracy 0.6675 | Best val. Accuracy 0.7160 | Best test Accuracy 0.6675
Epoch 0045/1000| Loss 0.3102 | Train Accuracy 0.7416 | Val Accuracy 0.7155 | Test Accuracy 0.6659 | Best val. Accuracy 0.7160 | Best test Accuracy 0.6675
Epoch 0046/1000| Loss 0.3113 | Train Accuracy 0.7418 | Val Accuracy 0.7154 | Test Accuracy 0.6603 | Best val. Accuracy 0.7160 | Best test Accuracy 0.6675
Epoch 0047/1000| Loss 0.3125 | Train Accuracy 0.7440 | Val Accuracy 0.7128 | Test Accuracy 0.6551 | Best val. Accuracy 0.7160 | Best test Accuracy 0.6675
Epoch 0048/1000| Loss 0.3116 | Train Accuracy 0.7451 | Val Accuracy 0.7204 | Test Accuracy 0.6688 | Best val. Accuracy 0.7204 | Best test Accuracy 0.6688
Epoch 0049/1000| Loss 0.3111 | Train Accuracy 0.7317 | Val Accuracy 0.7088 | Test Accuracy 0.6705 | Best val. Accuracy 0.7204 | Best test Accuracy 0.6688
Epoch 0050/1000| Loss 0.3151 | Train Accuracy 0.7512 | Val Accuracy 0.7259 | Test Accuracy 0.6749 | Best val. Accuracy 0.7259 | Best test Accuracy 0.6749
Epoch 0051/1000| Loss 0.3083 | Train Accuracy 0.7518 | Val Accuracy 0.7281 | Test Accuracy 0.6778 | Best val. Accuracy 0.7281 | Best test Accuracy 0.6778
Epoch 0052/1000| Loss 0.3090 | Train Accuracy 0.7559 | Val Accuracy 0.7267 | Test Accuracy 0.6746 | Best val. Accuracy 0.7281 | Best test Accuracy 0.6778
Epoch 0053/1000| Loss 0.3068 | Train Accuracy 0.7495 | Val Accuracy 0.7251 | Test Accuracy 0.6707 | Best val. Accuracy 0.7281 | Best test Accuracy 0.6778
Epoch 0054/1000| Loss 0.3190 | Train Accuracy 0.7468 | Val Accuracy 0.7314 | Test Accuracy 0.6755 | Best val. Accuracy 0.7314 | Best test Accuracy 0.6755
Epoch 0055/1000| Loss 0.3112 | Train Accuracy 0.7429 | Val Accuracy 0.7322 | Test Accuracy 0.6787 | Best val. Accuracy 0.7322 | Best test Accuracy 0.6787
Epoch 0056/1000| Loss 0.3164 | Train Accuracy 0.7412 | Val Accuracy 0.7239 | Test Accuracy 0.6751 | Best val. Accuracy 0.7322 | Best test Accuracy 0.6787
Epoch 0057/1000| Loss 0.3138 | Train Accuracy 0.7458 | Val Accuracy 0.7219 | Test Accuracy 0.6717 | Best val. Accuracy 0.7322 | Best test Accuracy 0.6787
Epoch 0058/1000| Loss 0.3119 | Train Accuracy 0.7514 | Val Accuracy 0.7202 | Test Accuracy 0.6704 | Best val. Accuracy 0.7322 | Best test Accuracy 0.6787
Epoch 0059/1000| Loss 0.3119 | Train Accuracy 0.7513 | Val Accuracy 0.7253 | Test Accuracy 0.6747 | Best val. Accuracy 0.7322 | Best test Accuracy 0.6787
Epoch 0060: Avg Forward 38.700ms, Avg Backward 32.431ms, Total per epoch 71.131ms
Epoch 0060/1000| Loss 0.3122 | Train Accuracy 0.7556 | Val Accuracy 0.7290 | Test Accuracy 0.6801 | Best val. Accuracy 0.7322 | Best test Accuracy 0.6787
Epoch 0061/1000| Loss 0.3098 | Train Accuracy 0.7523 | Val Accuracy 0.7266 | Test Accuracy 0.6844 | Best val. Accuracy 0.7322 | Best test Accuracy 0.6787
Epoch 0062/1000| Loss 0.3097 | Train Accuracy 0.7526 | Val Accuracy 0.7303 | Test Accuracy 0.6856 | Best val. Accuracy 0.7322 | Best test Accuracy 0.6787
Epoch 0063/1000| Loss 0.3072 | Train Accuracy 0.7543 | Val Accuracy 0.7344 | Test Accuracy 0.6845 | Best val. Accuracy 0.7344 | Best test Accuracy 0.6845
