
Parameters:
DATA_PATH=./data/
DATASET=ogbn-products
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=256
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: products
Kernel mode: auto
Creating SAGE model...
Using MaxK-accelerated SAGE model
Model parameters: 431,919 total, 431,919 trainable
Graph statistics: 2449029 nodes, 123718280 edges
Average degree: 50.52
Feature dimension: 100, Hidden dimension: 256
MaxK value: 256, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 23.2711 | Train Accuracy 0.3801 | Val Accuracy 0.3805 | Test Accuracy 0.3125 | Best val. Accuracy 0.3805 | Best test Accuracy 0.3125
Epoch 0001/1000| Loss 26.4985 | Train Accuracy 0.1460 | Val Accuracy 0.1543 | Test Accuracy 0.1243 | Best val. Accuracy 0.3805 | Best test Accuracy 0.3125
Epoch 0002/1000| Loss 65.1110 | Train Accuracy 0.3905 | Val Accuracy 0.3855 | Test Accuracy 0.3006 | Best val. Accuracy 0.3855 | Best test Accuracy 0.3006
Epoch 0003/1000| Loss 25.6778 | Train Accuracy 0.2452 | Val Accuracy 0.2399 | Test Accuracy 0.1934 | Best val. Accuracy 0.3855 | Best test Accuracy 0.3006
Epoch 0004/1000| Loss 81.5852 | Train Accuracy 0.3608 | Val Accuracy 0.3534 | Test Accuracy 0.2528 | Best val. Accuracy 0.3855 | Best test Accuracy 0.3006
Epoch 0005/1000| Loss 42.5007 | Train Accuracy 0.3394 | Val Accuracy 0.3329 | Test Accuracy 0.2423 | Best val. Accuracy 0.3855 | Best test Accuracy 0.3006
Epoch 0006/1000| Loss 50.8428 | Train Accuracy 0.4214 | Val Accuracy 0.4172 | Test Accuracy 0.3125 | Best val. Accuracy 0.4172 | Best test Accuracy 0.3125
Epoch 0007/1000| Loss 31.7505 | Train Accuracy 0.3015 | Val Accuracy 0.2970 | Test Accuracy 0.2147 | Best val. Accuracy 0.4172 | Best test Accuracy 0.3125
Epoch 0008/1000| Loss 39.6416 | Train Accuracy 0.3232 | Val Accuracy 0.3129 | Test Accuracy 0.2279 | Best val. Accuracy 0.4172 | Best test Accuracy 0.3125
Epoch 0009/1000| Loss 39.5180 | Train Accuracy 0.4013 | Val Accuracy 0.3928 | Test Accuracy 0.2812 | Best val. Accuracy 0.4172 | Best test Accuracy 0.3125
Epoch 0010/1000| Loss 30.9413 | Train Accuracy 0.4472 | Val Accuracy 0.4435 | Test Accuracy 0.3373 | Best val. Accuracy 0.4435 | Best test Accuracy 0.3373
