
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=64
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating GIN model...
Using standard DGL GIN model
Model parameters: 228,467 total, 228,467 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 64, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 3319878912.0000 | Train Accuracy 0.4431 | Val Accuracy 0.4384 | Test Accuracy 0.4562 | Best val. Accuracy 0.4384 | Best test Accuracy 0.4562
Epoch 0001/1000| Loss 9163719680.0000 | Train Accuracy 0.4108 | Val Accuracy 0.3957 | Test Accuracy 0.4321 | Best val. Accuracy 0.4384 | Best test Accuracy 0.4562
Epoch 0002/1000| Loss 1106073856.0000 | Train Accuracy 0.4185 | Val Accuracy 0.4122 | Test Accuracy 0.4419 | Best val. Accuracy 0.4384 | Best test Accuracy 0.4562
Epoch 0003/1000| Loss 650779200.0000 | Train Accuracy 0.4182 | Val Accuracy 0.4014 | Test Accuracy 0.4432 | Best val. Accuracy 0.4384 | Best test Accuracy 0.4562
Epoch 0004/1000| Loss 652305728.0000 | Train Accuracy 0.4541 | Val Accuracy 0.4428 | Test Accuracy 0.4669 | Best val. Accuracy 0.4428 | Best test Accuracy 0.4669
Epoch 0005/1000| Loss 354201760.0000 | Train Accuracy 0.4581 | Val Accuracy 0.4541 | Test Accuracy 0.4642 | Best val. Accuracy 0.4541 | Best test Accuracy 0.4642
Epoch 0006/1000| Loss 479786752.0000 | Train Accuracy 0.4240 | Val Accuracy 0.4206 | Test Accuracy 0.4409 | Best val. Accuracy 0.4541 | Best test Accuracy 0.4642
Epoch 0007/1000| Loss 351031680.0000 | Train Accuracy 0.4408 | Val Accuracy 0.4384 | Test Accuracy 0.4601 | Best val. Accuracy 0.4541 | Best test Accuracy 0.4642
Epoch 0008/1000| Loss 547220672.0000 | Train Accuracy 0.4588 | Val Accuracy 0.4685 | Test Accuracy 0.4838 | Best val. Accuracy 0.4685 | Best test Accuracy 0.4838
Epoch 0009/1000| Loss 537339392.0000 | Train Accuracy 0.4382 | Val Accuracy 0.4401 | Test Accuracy 0.4645 | Best val. Accuracy 0.4685 | Best test Accuracy 0.4838
Epoch 0010/1000| Loss 675189120.0000 | Train Accuracy 0.4391 | Val Accuracy 0.4332 | Test Accuracy 0.4606 | Best val. Accuracy 0.4685 | Best test Accuracy 0.4838
Epoch 0011/1000| Loss 520276896.0000 | Train Accuracy 0.4357 | Val Accuracy 0.4207 | Test Accuracy 0.4431 | Best val. Accuracy 0.4685 | Best test Accuracy 0.4838
Epoch 0012/1000| Loss 403673440.0000 | Train Accuracy 0.4418 | Val Accuracy 0.4233 | Test Accuracy 0.4440 | Best val. Accuracy 0.4685 | Best test Accuracy 0.4838
Epoch 0013/1000| Loss 382099264.0000 | Train Accuracy 0.4741 | Val Accuracy 0.4694 | Test Accuracy 0.4835 | Best val. Accuracy 0.4694 | Best test Accuracy 0.4835
Epoch 0014/1000| Loss 345883552.0000 | Train Accuracy 0.4717 | Val Accuracy 0.4600 | Test Accuracy 0.4844 | Best val. Accuracy 0.4694 | Best test Accuracy 0.4835
Epoch 0015/1000| Loss 269962624.0000 | Train Accuracy 0.4510 | Val Accuracy 0.4369 | Test Accuracy 0.4605 | Best val. Accuracy 0.4694 | Best test Accuracy 0.4835
Epoch 0016/1000| Loss 381499296.0000 | Train Accuracy 0.4727 | Val Accuracy 0.4692 | Test Accuracy 0.4745 | Best val. Accuracy 0.4694 | Best test Accuracy 0.4835
