
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=256
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: protein
Kernel mode: auto
Creating GIN model...
Using MaxK-accelerated GIN model
Model parameters: 228,467 total, 228,467 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 256, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 50.4201 | Train Accuracy 0.5923 | Val Accuracy 0.5856 | Test Accuracy 0.5485 | Best val. Accuracy 0.5856 | Best test Accuracy 0.5485
Epoch 0001/1000| Loss 148.8501 | Train Accuracy 0.4852 | Val Accuracy 0.4639 | Test Accuracy 0.4847 | Best val. Accuracy 0.5856 | Best test Accuracy 0.5485
Epoch 0002/1000| Loss 134.9804 | Train Accuracy 0.4606 | Val Accuracy 0.4280 | Test Accuracy 0.4640 | Best val. Accuracy 0.5856 | Best test Accuracy 0.5485
Epoch 0003/1000| Loss 113.7431 | Train Accuracy 0.4246 | Val Accuracy 0.3818 | Test Accuracy 0.4338 | Best val. Accuracy 0.5856 | Best test Accuracy 0.5485
Epoch 0004/1000| Loss 69.4808 | Train Accuracy 0.5923 | Val Accuracy 0.5225 | Test Accuracy 0.5105 | Best val. Accuracy 0.5856 | Best test Accuracy 0.5485
Epoch 0005/1000| Loss 45.3792 | Train Accuracy 0.5241 | Val Accuracy 0.4914 | Test Accuracy 0.4997 | Best val. Accuracy 0.5856 | Best test Accuracy 0.5485
Epoch 0006/1000| Loss 36.5452 | Train Accuracy 0.5359 | Val Accuracy 0.5226 | Test Accuracy 0.5170 | Best val. Accuracy 0.5856 | Best test Accuracy 0.5485
Epoch 0007/1000| Loss 33.9798 | Train Accuracy 0.5371 | Val Accuracy 0.5214 | Test Accuracy 0.5085 | Best val. Accuracy 0.5856 | Best test Accuracy 0.5485
Epoch 0008/1000| Loss 18.7668 | Train Accuracy 0.5908 | Val Accuracy 0.5733 | Test Accuracy 0.5503 | Best val. Accuracy 0.5856 | Best test Accuracy 0.5485
Epoch 0009/1000| Loss 10.4198 | Train Accuracy 0.6315 | Val Accuracy 0.5873 | Test Accuracy 0.5638 | Best val. Accuracy 0.5873 | Best test Accuracy 0.5638
Epoch 0010/1000| Loss 9.1034 | Train Accuracy 0.5095 | Val Accuracy 0.4994 | Test Accuracy 0.5067 | Best val. Accuracy 0.5873 | Best test Accuracy 0.5638
Epoch 0011/1000| Loss 9.7858 | Train Accuracy 0.4868 | Val Accuracy 0.4913 | Test Accuracy 0.5012 | Best val. Accuracy 0.5873 | Best test Accuracy 0.5638
Epoch 0012/1000| Loss 9.1132 | Train Accuracy 0.4921 | Val Accuracy 0.4955 | Test Accuracy 0.5160 | Best val. Accuracy 0.5873 | Best test Accuracy 0.5638
Epoch 0013/1000| Loss 5.5869 | Train Accuracy 0.5187 | Val Accuracy 0.5109 | Test Accuracy 0.5296 | Best val. Accuracy 0.5873 | Best test Accuracy 0.5638
Epoch 0014/1000| Loss 4.9875 | Train Accuracy 0.5573 | Val Accuracy 0.5276 | Test Accuracy 0.5144 | Best val. Accuracy 0.5873 | Best test Accuracy 0.5638
Epoch 0015/1000| Loss 2.6964 | Train Accuracy 0.5812 | Val Accuracy 0.5342 | Test Accuracy 0.4953 | Best val. Accuracy 0.5873 | Best test Accuracy 0.5638
Epoch 0016/1000| Loss 2.7251 | Train Accuracy 0.6073 | Val Accuracy 0.5501 | Test Accuracy 0.4938 | Best val. Accuracy 0.5873 | Best test Accuracy 0.5638
Epoch 0017/1000| Loss 2.4108 | Train Accuracy 0.6310 | Val Accuracy 0.5690 | Test Accuracy 0.5061 | Best val. Accuracy 0.5873 | Best test Accuracy 0.5638
Epoch 0018/1000| Loss 2.0620 | Train Accuracy 0.6567 | Val Accuracy 0.5901 | Test Accuracy 0.5297 | Best val. Accuracy 0.5901 | Best test Accuracy 0.5297
