
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=4
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating GIN model...
Using standard DGL GIN model
Model parameters: 228,467 total, 228,467 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 4, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 183239296.0000 | Train Accuracy 0.4563 | Val Accuracy 0.4494 | Test Accuracy 0.4675 | Best val. Accuracy 0.4494 | Best test Accuracy 0.4675
Epoch 0001/1000| Loss 160973296.0000 | Train Accuracy 0.4393 | Val Accuracy 0.4323 | Test Accuracy 0.4435 | Best val. Accuracy 0.4494 | Best test Accuracy 0.4675
Epoch 0002/1000| Loss 136012928.0000 | Train Accuracy 0.4199 | Val Accuracy 0.4057 | Test Accuracy 0.4251 | Best val. Accuracy 0.4494 | Best test Accuracy 0.4675
Epoch 0003/1000| Loss 123799816.0000 | Train Accuracy 0.4233 | Val Accuracy 0.4060 | Test Accuracy 0.4433 | Best val. Accuracy 0.4494 | Best test Accuracy 0.4675
Epoch 0004/1000| Loss 99506424.0000 | Train Accuracy 0.3888 | Val Accuracy 0.3727 | Test Accuracy 0.4209 | Best val. Accuracy 0.4494 | Best test Accuracy 0.4675
Epoch 0005/1000| Loss 102326104.0000 | Train Accuracy 0.4038 | Val Accuracy 0.4066 | Test Accuracy 0.4402 | Best val. Accuracy 0.4494 | Best test Accuracy 0.4675
Epoch 0006/1000| Loss 77423456.0000 | Train Accuracy 0.3908 | Val Accuracy 0.3797 | Test Accuracy 0.4232 | Best val. Accuracy 0.4494 | Best test Accuracy 0.4675
Epoch 0007/1000| Loss 46960780.0000 | Train Accuracy 0.4175 | Val Accuracy 0.4124 | Test Accuracy 0.4385 | Best val. Accuracy 0.4494 | Best test Accuracy 0.4675
Epoch 0008/1000| Loss 65467156.0000 | Train Accuracy 0.3818 | Val Accuracy 0.3654 | Test Accuracy 0.4087 | Best val. Accuracy 0.4494 | Best test Accuracy 0.4675
Epoch 0009/1000| Loss 39509148.0000 | Train Accuracy 0.4260 | Val Accuracy 0.4220 | Test Accuracy 0.4465 | Best val. Accuracy 0.4494 | Best test Accuracy 0.4675
Epoch 0010/1000| Loss 23045594.0000 | Train Accuracy 0.3580 | Val Accuracy 0.3340 | Test Accuracy 0.4074 | Best val. Accuracy 0.4494 | Best test Accuracy 0.4675
Epoch 0011/1000| Loss 19332220.0000 | Train Accuracy 0.4096 | Val Accuracy 0.3946 | Test Accuracy 0.4380 | Best val. Accuracy 0.4494 | Best test Accuracy 0.4675
Epoch 0012/1000| Loss 35626184.0000 | Train Accuracy 0.4128 | Val Accuracy 0.3963 | Test Accuracy 0.4312 | Best val. Accuracy 0.4494 | Best test Accuracy 0.4675
Epoch 0013/1000| Loss 17123418.0000 | Train Accuracy 0.4051 | Val Accuracy 0.3812 | Test Accuracy 0.4177 | Best val. Accuracy 0.4494 | Best test Accuracy 0.4675
Epoch 0014/1000| Loss 27193042.0000 | Train Accuracy 0.3742 | Val Accuracy 0.3635 | Test Accuracy 0.4115 | Best val. Accuracy 0.4494 | Best test Accuracy 0.4675
Epoch 0015/1000| Loss 19349896.0000 | Train Accuracy 0.3932 | Val Accuracy 0.3864 | Test Accuracy 0.4106 | Best val. Accuracy 0.4494 | Best test Accuracy 0.4675
Epoch 0016/1000| Loss 8217816.5000 | Train Accuracy 0.4236 | Val Accuracy 0.4048 | Test Accuracy 0.4373 | Best val. Accuracy 0.4494 | Best test Accuracy 0.4675
Epoch 0017/1000| Loss 9808274.0000 | Train Accuracy 0.4006 | Val Accuracy 0.3845 | Test Accuracy 0.4137 | Best val. Accuracy 0.4494 | Best test Accuracy 0.4675
Epoch 0018/1000| Loss 9351448.0000 | Train Accuracy 0.4409 | Val Accuracy 0.4362 | Test Accuracy 0.4701 | Best val. Accuracy 0.4494 | Best test Accuracy 0.4675
Epoch 0019/1000| Loss 23347772.0000 | Train Accuracy 0.4381 | Val Accuracy 0.4275 | Test Accuracy 0.4618 | Best val. Accuracy 0.4494 | Best test Accuracy 0.4675
Epoch 0020: Avg Forward 37.831ms, Avg Backward 32.458ms, Total per epoch 70.288ms
Epoch 0020/1000| Loss 18433244.0000 | Train Accuracy 0.4143 | Val Accuracy 0.4050 | Test Accuracy 0.4333 | Best val. Accuracy 0.4494 | Best test Accuracy 0.4675
