
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=64
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gcn
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating GCN model...
Using standard DGL GCN model
Model parameters: 229,232 total, 229,232 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 64, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 1.2886 | Train Accuracy 0.3768 | Val Accuracy 0.3680 | Test Accuracy 0.4123 | Best val. Accuracy 0.3680 | Best test Accuracy 0.4123
Epoch 0001/1000| Loss 1.1996 | Train Accuracy 0.3860 | Val Accuracy 0.3739 | Test Accuracy 0.4101 | Best val. Accuracy 0.3739 | Best test Accuracy 0.4101
Epoch 0002/1000| Loss 0.6981 | Train Accuracy 0.4020 | Val Accuracy 0.3854 | Test Accuracy 0.4160 | Best val. Accuracy 0.3854 | Best test Accuracy 0.4160
Epoch 0003/1000| Loss 0.5680 | Train Accuracy 0.3847 | Val Accuracy 0.3606 | Test Accuracy 0.3986 | Best val. Accuracy 0.3854 | Best test Accuracy 0.4160
Epoch 0004/1000| Loss 0.5675 | Train Accuracy 0.4160 | Val Accuracy 0.3727 | Test Accuracy 0.4107 | Best val. Accuracy 0.3854 | Best test Accuracy 0.4160
Epoch 0005/1000| Loss 0.5104 | Train Accuracy 0.4315 | Val Accuracy 0.3582 | Test Accuracy 0.3963 | Best val. Accuracy 0.3854 | Best test Accuracy 0.4160
Epoch 0006/1000| Loss 0.4621 | Train Accuracy 0.4514 | Val Accuracy 0.3502 | Test Accuracy 0.3844 | Best val. Accuracy 0.3854 | Best test Accuracy 0.4160
Epoch 0007/1000| Loss 0.4435 | Train Accuracy 0.4945 | Val Accuracy 0.3799 | Test Accuracy 0.4057 | Best val. Accuracy 0.3854 | Best test Accuracy 0.4160
Epoch 0008/1000| Loss 0.4349 | Train Accuracy 0.5059 | Val Accuracy 0.3879 | Test Accuracy 0.4077 | Best val. Accuracy 0.3879 | Best test Accuracy 0.4077
Epoch 0009/1000| Loss 0.4256 | Train Accuracy 0.4984 | Val Accuracy 0.3847 | Test Accuracy 0.4086 | Best val. Accuracy 0.3879 | Best test Accuracy 0.4077
Epoch 0010/1000| Loss 0.4154 | Train Accuracy 0.5092 | Val Accuracy 0.4220 | Test Accuracy 0.4390 | Best val. Accuracy 0.4220 | Best test Accuracy 0.4390
Epoch 0011/1000| Loss 0.4070 | Train Accuracy 0.5090 | Val Accuracy 0.4135 | Test Accuracy 0.4356 | Best val. Accuracy 0.4220 | Best test Accuracy 0.4390
Epoch 0012/1000| Loss 0.3975 | Train Accuracy 0.4404 | Val Accuracy 0.3720 | Test Accuracy 0.4101 | Best val. Accuracy 0.4220 | Best test Accuracy 0.4390
Epoch 0013/1000| Loss 0.4117 | Train Accuracy 0.5298 | Val Accuracy 0.4695 | Test Accuracy 0.4824 | Best val. Accuracy 0.4695 | Best test Accuracy 0.4824
Epoch 0014/1000| Loss 0.4065 | Train Accuracy 0.5281 | Val Accuracy 0.4625 | Test Accuracy 0.4798 | Best val. Accuracy 0.4695 | Best test Accuracy 0.4824
Epoch 0015/1000| Loss 0.3853 | Train Accuracy 0.5227 | Val Accuracy 0.4413 | Test Accuracy 0.4617 | Best val. Accuracy 0.4695 | Best test Accuracy 0.4824
Epoch 0016/1000| Loss 0.3775 | Train Accuracy 0.5459 | Val Accuracy 0.4698 | Test Accuracy 0.4764 | Best val. Accuracy 0.4698 | Best test Accuracy 0.4764
