
Parameters:
DATA_PATH=./data/
DATASET=ogbn-products
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=64
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: products
Kernel mode: auto
Creating GIN model...
Using MaxK-accelerated GIN model
Model parameters: 235,314 total, 235,314 trainable
Graph statistics: 2449029 nodes, 123718280 edges
Average degree: 50.52
Feature dimension: 100, Hidden dimension: 256
MaxK value: 64, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 6.4396 | Train Accuracy 0.3084 | Val Accuracy 0.3083 | Test Accuracy 0.2694 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0001/1000| Loss 9.4887 | Train Accuracy 0.3053 | Val Accuracy 0.3050 | Test Accuracy 0.2637 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0002/1000| Loss 4.7425 | Train Accuracy 0.0840 | Val Accuracy 0.0850 | Test Accuracy 0.0658 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0003/1000| Loss 4.7809 | Train Accuracy 0.0714 | Val Accuracy 0.0673 | Test Accuracy 0.0562 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0004/1000| Loss 4.1520 | Train Accuracy 0.2626 | Val Accuracy 0.2652 | Test Accuracy 0.2081 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0005/1000| Loss 3.7979 | Train Accuracy 0.2976 | Val Accuracy 0.2949 | Test Accuracy 0.2432 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0006/1000| Loss 3.7695 | Train Accuracy 0.1109 | Val Accuracy 0.1110 | Test Accuracy 0.0893 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0007/1000| Loss 3.5239 | Train Accuracy 0.3007 | Val Accuracy 0.2966 | Test Accuracy 0.2442 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0008/1000| Loss 3.8356 | Train Accuracy 0.1301 | Val Accuracy 0.1274 | Test Accuracy 0.1083 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0009/1000| Loss 3.6636 | Train Accuracy 0.2106 | Val Accuracy 0.2048 | Test Accuracy 0.1589 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0010/1000| Loss 3.5255 | Train Accuracy 0.1457 | Val Accuracy 0.1465 | Test Accuracy 0.1172 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0011/1000| Loss 3.7102 | Train Accuracy 0.1641 | Val Accuracy 0.1684 | Test Accuracy 0.1312 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0012/1000| Loss 3.6070 | Train Accuracy 0.1303 | Val Accuracy 0.1277 | Test Accuracy 0.1150 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0013/1000| Loss 3.3968 | Train Accuracy 0.1929 | Val Accuracy 0.1941 | Test Accuracy 0.1523 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0014/1000| Loss 3.4485 | Train Accuracy 0.0858 | Val Accuracy 0.0927 | Test Accuracy 0.0802 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0015/1000| Loss 3.7033 | Train Accuracy 0.2868 | Val Accuracy 0.2859 | Test Accuracy 0.2381 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0016/1000| Loss 4.0380 | Train Accuracy 0.1800 | Val Accuracy 0.1756 | Test Accuracy 0.1576 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0017/1000| Loss 3.8682 | Train Accuracy 0.0930 | Val Accuracy 0.0906 | Test Accuracy 0.0927 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
