
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=8
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating GIN model...
Using standard DGL GIN model
Model parameters: 228,467 total, 228,467 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 8, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 493892672.0000 | Train Accuracy 0.4625 | Val Accuracy 0.4619 | Test Accuracy 0.4703 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4703
Epoch 0001/1000| Loss 574854336.0000 | Train Accuracy 0.4390 | Val Accuracy 0.4325 | Test Accuracy 0.4652 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4703
Epoch 0002/1000| Loss 510519840.0000 | Train Accuracy 0.4043 | Val Accuracy 0.3981 | Test Accuracy 0.4399 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4703
Epoch 0003/1000| Loss 282498144.0000 | Train Accuracy 0.4140 | Val Accuracy 0.4150 | Test Accuracy 0.4335 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4703
Epoch 0004/1000| Loss 253408368.0000 | Train Accuracy 0.4069 | Val Accuracy 0.3905 | Test Accuracy 0.4240 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4703
Epoch 0005/1000| Loss 120135304.0000 | Train Accuracy 0.3801 | Val Accuracy 0.3677 | Test Accuracy 0.4166 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4703
Epoch 0006/1000| Loss 127420264.0000 | Train Accuracy 0.3811 | Val Accuracy 0.3626 | Test Accuracy 0.3984 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4703
Epoch 0007/1000| Loss 102523720.0000 | Train Accuracy 0.3875 | Val Accuracy 0.3756 | Test Accuracy 0.4261 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4703
Epoch 0008/1000| Loss 45115120.0000 | Train Accuracy 0.3826 | Val Accuracy 0.3659 | Test Accuracy 0.4117 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4703
Epoch 0009/1000| Loss 41081624.0000 | Train Accuracy 0.3905 | Val Accuracy 0.3762 | Test Accuracy 0.4244 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4703
Epoch 0010/1000| Loss 45401196.0000 | Train Accuracy 0.3849 | Val Accuracy 0.3778 | Test Accuracy 0.4184 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4703
Epoch 0011/1000| Loss 49395764.0000 | Train Accuracy 0.4197 | Val Accuracy 0.4077 | Test Accuracy 0.4367 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4703
Epoch 0012/1000| Loss 24997038.0000 | Train Accuracy 0.4039 | Val Accuracy 0.3903 | Test Accuracy 0.4254 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4703
Epoch 0013/1000| Loss 40049044.0000 | Train Accuracy 0.4078 | Val Accuracy 0.4033 | Test Accuracy 0.4358 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4703
Epoch 0014/1000| Loss 28776182.0000 | Train Accuracy 0.4007 | Val Accuracy 0.3872 | Test Accuracy 0.4265 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4703
Epoch 0015/1000| Loss 23235822.0000 | Train Accuracy 0.3908 | Val Accuracy 0.3825 | Test Accuracy 0.4288 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4703
Epoch 0016/1000| Loss 16022230.0000 | Train Accuracy 0.3921 | Val Accuracy 0.3866 | Test Accuracy 0.4310 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4703
Epoch 0017/1000| Loss 22177260.0000 | Train Accuracy 0.3692 | Val Accuracy 0.3613 | Test Accuracy 0.4003 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4703
Epoch 0018/1000| Loss 28315836.0000 | Train Accuracy 0.3928 | Val Accuracy 0.3841 | Test Accuracy 0.4317 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4703
Epoch 0019/1000| Loss 18676798.0000 | Train Accuracy 0.4217 | Val Accuracy 0.4144 | Test Accuracy 0.4490 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4703
Epoch 0020: Avg Forward 38.077ms, Avg Backward 32.454ms, Total per epoch 70.531ms
Epoch 0020/1000| Loss 14904472.0000 | Train Accuracy 0.4563 | Val Accuracy 0.4513 | Test Accuracy 0.4603 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4703
Epoch 0021/1000| Loss 12024052.0000 | Train Accuracy 0.4219 | Val Accuracy 0.3940 | Test Accuracy 0.4251 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4703
Epoch 0022/1000| Loss 14362080.0000 | Train Accuracy 0.4413 | Val Accuracy 0.4315 | Test Accuracy 0.4407 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4703
Epoch 0023/1000| Loss 19496242.0000 | Train Accuracy 0.3863 | Val Accuracy 0.3882 | Test Accuracy 0.4225 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4703
Epoch 0024/1000| Loss 13970345.0000 | Train Accuracy 0.4259 | Val Accuracy 0.4266 | Test Accuracy 0.4412 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4703
Epoch 0025/1000| Loss 10494422.0000 | Train Accuracy 0.5098 | Val Accuracy 0.5344 | Test Accuracy 0.4707 | Best val. Accuracy 0.5344 | Best test Accuracy 0.4707
Epoch 0026/1000| Loss 3244991.7500 | Train Accuracy 0.4030 | Val Accuracy 0.4032 | Test Accuracy 0.4278 | Best val. Accuracy 0.5344 | Best test Accuracy 0.4707
Epoch 0027/1000| Loss 8873884.0000 | Train Accuracy 0.4022 | Val Accuracy 0.4020 | Test Accuracy 0.4244 | Best val. Accuracy 0.5344 | Best test Accuracy 0.4707
Epoch 0028/1000| Loss 8648054.0000 | Train Accuracy 0.4250 | Val Accuracy 0.4263 | Test Accuracy 0.4230 | Best val. Accuracy 0.5344 | Best test Accuracy 0.4707
Epoch 0029/1000| Loss 6746720.5000 | Train Accuracy 0.5110 | Val Accuracy 0.5026 | Test Accuracy 0.4670 | Best val. Accuracy 0.5344 | Best test Accuracy 0.4707
Epoch 0030/1000| Loss 2084045.6250 | Train Accuracy 0.4337 | Val Accuracy 0.4300 | Test Accuracy 0.4432 | Best val. Accuracy 0.5344 | Best test Accuracy 0.4707
Epoch 0031/1000| Loss 3385461.0000 | Train Accuracy 0.4016 | Val Accuracy 0.3873 | Test Accuracy 0.4202 | Best val. Accuracy 0.5344 | Best test Accuracy 0.4707
Epoch 0032/1000| Loss 5908923.0000 | Train Accuracy 0.4390 | Val Accuracy 0.4183 | Test Accuracy 0.4291 | Best val. Accuracy 0.5344 | Best test Accuracy 0.4707
Epoch 0033/1000| Loss 3541379.0000 | Train Accuracy 0.4496 | Val Accuracy 0.4414 | Test Accuracy 0.4345 | Best val. Accuracy 0.5344 | Best test Accuracy 0.4707
Epoch 0034/1000| Loss 4197323.5000 | Train Accuracy 0.5164 | Val Accuracy 0.5161 | Test Accuracy 0.4532 | Best val. Accuracy 0.5344 | Best test Accuracy 0.4707
Epoch 0035/1000| Loss 2417727.2500 | Train Accuracy 0.4891 | Val Accuracy 0.4837 | Test Accuracy 0.4465 | Best val. Accuracy 0.5344 | Best test Accuracy 0.4707
Epoch 0036/1000| Loss 3003713.0000 | Train Accuracy 0.4047 | Val Accuracy 0.4024 | Test Accuracy 0.4426 | Best val. Accuracy 0.5344 | Best test Accuracy 0.4707
Epoch 0037/1000| Loss 4981475.5000 | Train Accuracy 0.4869 | Val Accuracy 0.4628 | Test Accuracy 0.4516 | Best val. Accuracy 0.5344 | Best test Accuracy 0.4707
Epoch 0038/1000| Loss 2915542.7500 | Train Accuracy 0.4231 | Val Accuracy 0.4217 | Test Accuracy 0.4322 | Best val. Accuracy 0.5344 | Best test Accuracy 0.4707
