
Parameters:
DATA_PATH=./data/
DATASET=ogbn-products
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=128
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: products
Kernel mode: auto
Creating SAGE model...
Using MaxK-accelerated SAGE model
Model parameters: 431,919 total, 431,919 trainable
Graph statistics: 2449029 nodes, 123718280 edges
Average degree: 50.52
Feature dimension: 100, Hidden dimension: 256
MaxK value: 128, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 16.8785 | Train Accuracy 0.3084 | Val Accuracy 0.3083 | Test Accuracy 0.2694 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0001/1000| Loss 62.4306 | Train Accuracy 0.0856 | Val Accuracy 0.0874 | Test Accuracy 0.0705 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0002/1000| Loss 30.9832 | Train Accuracy 0.2380 | Val Accuracy 0.2345 | Test Accuracy 0.2011 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0003/1000| Loss 40.2143 | Train Accuracy 0.3084 | Val Accuracy 0.3084 | Test Accuracy 0.2693 | Best val. Accuracy 0.3084 | Best test Accuracy 0.2693
Epoch 0004/1000| Loss 90.4097 | Train Accuracy 0.0784 | Val Accuracy 0.0757 | Test Accuracy 0.0581 | Best val. Accuracy 0.3084 | Best test Accuracy 0.2693
Epoch 0005/1000| Loss 29.3134 | Train Accuracy 0.0013 | Val Accuracy 0.0013 | Test Accuracy 0.0024 | Best val. Accuracy 0.3084 | Best test Accuracy 0.2693
Epoch 0006/1000| Loss 65.4801 | Train Accuracy 0.0711 | Val Accuracy 0.0713 | Test Accuracy 0.0668 | Best val. Accuracy 0.3084 | Best test Accuracy 0.2693
Epoch 0007/1000| Loss 78.8547 | Train Accuracy 0.0966 | Val Accuracy 0.1025 | Test Accuracy 0.0911 | Best val. Accuracy 0.3084 | Best test Accuracy 0.2693
Epoch 0008/1000| Loss 60.0854 | Train Accuracy 0.3122 | Val Accuracy 0.3071 | Test Accuracy 0.2619 | Best val. Accuracy 0.3084 | Best test Accuracy 0.2693
Epoch 0009/1000| Loss 38.1496 | Train Accuracy 0.3055 | Val Accuracy 0.3032 | Test Accuracy 0.2585 | Best val. Accuracy 0.3084 | Best test Accuracy 0.2693
Epoch 0010/1000| Loss 37.0169 | Train Accuracy 0.1439 | Val Accuracy 0.1389 | Test Accuracy 0.1215 | Best val. Accuracy 0.3084 | Best test Accuracy 0.2693
Epoch 0011/1000| Loss 60.6869 | Train Accuracy 0.2511 | Val Accuracy 0.2444 | Test Accuracy 0.1976 | Best val. Accuracy 0.3084 | Best test Accuracy 0.2693
Epoch 0012/1000| Loss 30.6025 | Train Accuracy 0.3142 | Val Accuracy 0.3111 | Test Accuracy 0.2652 | Best val. Accuracy 0.3111 | Best test Accuracy 0.2652
Epoch 0013/1000| Loss 37.8001 | Train Accuracy 0.2745 | Val Accuracy 0.2611 | Test Accuracy 0.2070 | Best val. Accuracy 0.3111 | Best test Accuracy 0.2652
Epoch 0014/1000| Loss 32.0678 | Train Accuracy 0.1904 | Val Accuracy 0.1834 | Test Accuracy 0.1452 | Best val. Accuracy 0.3111 | Best test Accuracy 0.2652
Epoch 0015/1000| Loss 32.5485 | Train Accuracy 0.2108 | Val Accuracy 0.2024 | Test Accuracy 0.1551 | Best val. Accuracy 0.3111 | Best test Accuracy 0.2652
Epoch 0016/1000| Loss 30.7122 | Train Accuracy 0.2206 | Val Accuracy 0.2102 | Test Accuracy 0.1597 | Best val. Accuracy 0.3111 | Best test Accuracy 0.2652
Epoch 0017/1000| Loss 23.5040 | Train Accuracy 0.3054 | Val Accuracy 0.3036 | Test Accuracy 0.2494 | Best val. Accuracy 0.3111 | Best test Accuracy 0.2652
Epoch 0018/1000| Loss 20.3411 | Train Accuracy 0.3412 | Val Accuracy 0.3396 | Test Accuracy 0.2858 | Best val. Accuracy 0.3396 | Best test Accuracy 0.2858
Epoch 0019/1000| Loss 19.9745 | Train Accuracy 0.3377 | Val Accuracy 0.3362 | Test Accuracy 0.2667 | Best val. Accuracy 0.3396 | Best test Accuracy 0.2858
Epoch 0020: Avg Forward 338.176ms, Avg Backward 203.437ms, Total per epoch 541.613ms
Epoch 0020/1000| Loss 16.4573 | Train Accuracy 0.2190 | Val Accuracy 0.2146 | Test Accuracy 0.1620 | Best val. Accuracy 0.3396 | Best test Accuracy 0.2858
Epoch 0021/1000| Loss 17.4606 | Train Accuracy 0.1818 | Val Accuracy 0.1787 | Test Accuracy 0.1388 | Best val. Accuracy 0.3396 | Best test Accuracy 0.2858
Epoch 0022/1000| Loss 17.4211 | Train Accuracy 0.1807 | Val Accuracy 0.1761 | Test Accuracy 0.1447 | Best val. Accuracy 0.3396 | Best test Accuracy 0.2858
Epoch 0023/1000| Loss 16.9457 | Train Accuracy 0.2654 | Val Accuracy 0.2604 | Test Accuracy 0.2095 | Best val. Accuracy 0.3396 | Best test Accuracy 0.2858
Epoch 0024/1000| Loss 14.1560 | Train Accuracy 0.3781 | Val Accuracy 0.3768 | Test Accuracy 0.2935 | Best val. Accuracy 0.3768 | Best test Accuracy 0.2935
Epoch 0025/1000| Loss 12.1509 | Train Accuracy 0.3860 | Val Accuracy 0.3871 | Test Accuracy 0.3030 | Best val. Accuracy 0.3871 | Best test Accuracy 0.3030
Epoch 0026/1000| Loss 13.8587 | Train Accuracy 0.3833 | Val Accuracy 0.3836 | Test Accuracy 0.3023 | Best val. Accuracy 0.3871 | Best test Accuracy 0.3030
Epoch 0027/1000| Loss 13.1675 | Train Accuracy 0.3758 | Val Accuracy 0.3756 | Test Accuracy 0.2957 | Best val. Accuracy 0.3871 | Best test Accuracy 0.3030
Epoch 0028/1000| Loss 12.2305 | Train Accuracy 0.3899 | Val Accuracy 0.3841 | Test Accuracy 0.2947 | Best val. Accuracy 0.3871 | Best test Accuracy 0.3030
Epoch 0029/1000| Loss 12.0497 | Train Accuracy 0.4061 | Val Accuracy 0.3988 | Test Accuracy 0.3049 | Best val. Accuracy 0.3988 | Best test Accuracy 0.3049
Epoch 0030/1000| Loss 11.2375 | Train Accuracy 0.4176 | Val Accuracy 0.4160 | Test Accuracy 0.3189 | Best val. Accuracy 0.4160 | Best test Accuracy 0.3189
Epoch 0031/1000| Loss 10.0132 | Train Accuracy 0.4276 | Val Accuracy 0.4262 | Test Accuracy 0.3274 | Best val. Accuracy 0.4262 | Best test Accuracy 0.3274
Epoch 0032/1000| Loss 9.6154 | Train Accuracy 0.4177 | Val Accuracy 0.4122 | Test Accuracy 0.3136 | Best val. Accuracy 0.4262 | Best test Accuracy 0.3274
Epoch 0033/1000| Loss 9.9964 | Train Accuracy 0.4042 | Val Accuracy 0.4009 | Test Accuracy 0.3012 | Best val. Accuracy 0.4262 | Best test Accuracy 0.3274
Epoch 0034/1000| Loss 9.5550 | Train Accuracy 0.4104 | Val Accuracy 0.4036 | Test Accuracy 0.3046 | Best val. Accuracy 0.4262 | Best test Accuracy 0.3274
Epoch 0035/1000| Loss 8.3246 | Train Accuracy 0.4159 | Val Accuracy 0.4107 | Test Accuracy 0.3098 | Best val. Accuracy 0.4262 | Best test Accuracy 0.3274
Epoch 0036/1000| Loss 8.3875 | Train Accuracy 0.4137 | Val Accuracy 0.4070 | Test Accuracy 0.3122 | Best val. Accuracy 0.4262 | Best test Accuracy 0.3274
Epoch 0037/1000| Loss 7.7046 | Train Accuracy 0.3980 | Val Accuracy 0.3906 | Test Accuracy 0.2993 | Best val. Accuracy 0.4262 | Best test Accuracy 0.3274
Epoch 0038/1000| Loss 7.3267 | Train Accuracy 0.3861 | Val Accuracy 0.3794 | Test Accuracy 0.2853 | Best val. Accuracy 0.4262 | Best test Accuracy 0.3274
Epoch 0039/1000| Loss 7.2140 | Train Accuracy 0.4002 | Val Accuracy 0.3922 | Test Accuracy 0.2896 | Best val. Accuracy 0.4262 | Best test Accuracy 0.3274
Epoch 0040: Avg Forward 338.169ms, Avg Backward 203.412ms, Total per epoch 541.582ms
Epoch 0040/1000| Loss 6.6928 | Train Accuracy 0.4237 | Val Accuracy 0.4150 | Test Accuracy 0.3020 | Best val. Accuracy 0.4262 | Best test Accuracy 0.3274
Epoch 0041/1000| Loss 6.4544 | Train Accuracy 0.4398 | Val Accuracy 0.4316 | Test Accuracy 0.3123 | Best val. Accuracy 0.4316 | Best test Accuracy 0.3123
Epoch 0042/1000| Loss 6.3801 | Train Accuracy 0.4508 | Val Accuracy 0.4415 | Test Accuracy 0.3203 | Best val. Accuracy 0.4415 | Best test Accuracy 0.3203
Epoch 0043/1000| Loss 6.2778 | Train Accuracy 0.4411 | Val Accuracy 0.4308 | Test Accuracy 0.3130 | Best val. Accuracy 0.4415 | Best test Accuracy 0.3203
Epoch 0044/1000| Loss 6.1655 | Train Accuracy 0.4413 | Val Accuracy 0.4298 | Test Accuracy 0.3136 | Best val. Accuracy 0.4415 | Best test Accuracy 0.3203
Epoch 0045/1000| Loss 5.7024 | Train Accuracy 0.4565 | Val Accuracy 0.4447 | Test Accuracy 0.3253 | Best val. Accuracy 0.4447 | Best test Accuracy 0.3253
