
Parameters:
DATA_PATH=./data/
DATASET=ogbn-products
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=4
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating SAGE model...
Using standard DGL SAGE model
Model parameters: 431,919 total, 431,919 trainable
Graph statistics: 2449029 nodes, 123718280 edges
Average degree: 50.52
Feature dimension: 100, Hidden dimension: 256
MaxK value: 4, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 3.8721 | Train Accuracy 0.3083 | Val Accuracy 0.3083 | Test Accuracy 0.2693 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2693
Epoch 0001/1000| Loss 3.4409 | Train Accuracy 0.3084 | Val Accuracy 0.3083 | Test Accuracy 0.2694 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0002/1000| Loss 3.0149 | Train Accuracy 0.3084 | Val Accuracy 0.3083 | Test Accuracy 0.2694 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0003/1000| Loss 2.8011 | Train Accuracy 0.3084 | Val Accuracy 0.3083 | Test Accuracy 0.2694 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0004/1000| Loss 2.5912 | Train Accuracy 0.3134 | Val Accuracy 0.3135 | Test Accuracy 0.2733 | Best val. Accuracy 0.3135 | Best test Accuracy 0.2733
Epoch 0005/1000| Loss 2.4808 | Train Accuracy 0.3198 | Val Accuracy 0.3205 | Test Accuracy 0.2733 | Best val. Accuracy 0.3205 | Best test Accuracy 0.2733
Epoch 0006/1000| Loss 2.4518 | Train Accuracy 0.3149 | Val Accuracy 0.3153 | Test Accuracy 0.2700 | Best val. Accuracy 0.3205 | Best test Accuracy 0.2733
Epoch 0007/1000| Loss 2.3690 | Train Accuracy 0.3177 | Val Accuracy 0.3182 | Test Accuracy 0.2744 | Best val. Accuracy 0.3205 | Best test Accuracy 0.2733
Epoch 0008/1000| Loss 2.3533 | Train Accuracy 0.3243 | Val Accuracy 0.3247 | Test Accuracy 0.2786 | Best val. Accuracy 0.3247 | Best test Accuracy 0.2786
Epoch 0009/1000| Loss 2.2513 | Train Accuracy 0.3605 | Val Accuracy 0.3606 | Test Accuracy 0.3030 | Best val. Accuracy 0.3606 | Best test Accuracy 0.3030
Epoch 0010/1000| Loss 2.1504 | Train Accuracy 0.4009 | Val Accuracy 0.3967 | Test Accuracy 0.3230 | Best val. Accuracy 0.3967 | Best test Accuracy 0.3230
Epoch 0011/1000| Loss 2.0985 | Train Accuracy 0.4464 | Val Accuracy 0.4419 | Test Accuracy 0.3555 | Best val. Accuracy 0.4419 | Best test Accuracy 0.3555
Epoch 0012/1000| Loss 2.0066 | Train Accuracy 0.4604 | Val Accuracy 0.4595 | Test Accuracy 0.3712 | Best val. Accuracy 0.4595 | Best test Accuracy 0.3712
Epoch 0013/1000| Loss 1.9416 | Train Accuracy 0.4716 | Val Accuracy 0.4712 | Test Accuracy 0.3796 | Best val. Accuracy 0.4712 | Best test Accuracy 0.3796
Epoch 0014/1000| Loss 1.8538 | Train Accuracy 0.4789 | Val Accuracy 0.4765 | Test Accuracy 0.3784 | Best val. Accuracy 0.4765 | Best test Accuracy 0.3784
Epoch 0015/1000| Loss 1.7556 | Train Accuracy 0.5097 | Val Accuracy 0.5003 | Test Accuracy 0.3886 | Best val. Accuracy 0.5003 | Best test Accuracy 0.3886
Epoch 0016/1000| Loss 1.6811 | Train Accuracy 0.5464 | Val Accuracy 0.5385 | Test Accuracy 0.4217 | Best val. Accuracy 0.5385 | Best test Accuracy 0.4217
Epoch 0017/1000| Loss 1.5826 | Train Accuracy 0.5616 | Val Accuracy 0.5545 | Test Accuracy 0.4320 | Best val. Accuracy 0.5545 | Best test Accuracy 0.4320
Epoch 0018/1000| Loss 1.5149 | Train Accuracy 0.5824 | Val Accuracy 0.5695 | Test Accuracy 0.4316 | Best val. Accuracy 0.5695 | Best test Accuracy 0.4316
Epoch 0019/1000| Loss 1.4419 | Train Accuracy 0.5776 | Val Accuracy 0.5667 | Test Accuracy 0.4248 | Best val. Accuracy 0.5695 | Best test Accuracy 0.4316
Epoch 0020: Avg Forward 267.448ms, Avg Backward 154.609ms, Total per epoch 422.057ms
Epoch 0020/1000| Loss 1.3923 | Train Accuracy 0.6241 | Val Accuracy 0.6150 | Test Accuracy 0.4664 | Best val. Accuracy 0.6150 | Best test Accuracy 0.4664
Epoch 0021/1000| Loss 1.3244 | Train Accuracy 0.6649 | Val Accuracy 0.6513 | Test Accuracy 0.4901 | Best val. Accuracy 0.6513 | Best test Accuracy 0.4901
Epoch 0022/1000| Loss 1.2866 | Train Accuracy 0.6619 | Val Accuracy 0.6518 | Test Accuracy 0.4867 | Best val. Accuracy 0.6518 | Best test Accuracy 0.4867
