
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=8
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gcn
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: protein
Kernel mode: auto
Creating GCN model...
Using MaxK-accelerated GCN model
Model parameters: 228,464 total, 228,464 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 8, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 6797.9004 | Train Accuracy 0.4843 | Val Accuracy 0.4715 | Test Accuracy 0.4865 | Best val. Accuracy 0.4715 | Best test Accuracy 0.4865
Epoch 0001/1000| Loss 4154.1611 | Train Accuracy 0.4499 | Val Accuracy 0.4289 | Test Accuracy 0.4640 | Best val. Accuracy 0.4715 | Best test Accuracy 0.4865
Epoch 0002/1000| Loss 2664.1511 | Train Accuracy 0.4292 | Val Accuracy 0.4047 | Test Accuracy 0.4525 | Best val. Accuracy 0.4715 | Best test Accuracy 0.4865
Epoch 0003/1000| Loss 2033.4558 | Train Accuracy 0.4280 | Val Accuracy 0.4009 | Test Accuracy 0.4538 | Best val. Accuracy 0.4715 | Best test Accuracy 0.4865
Epoch 0004/1000| Loss 1672.1456 | Train Accuracy 0.4400 | Val Accuracy 0.4133 | Test Accuracy 0.4637 | Best val. Accuracy 0.4715 | Best test Accuracy 0.4865
Epoch 0005/1000| Loss 1529.6073 | Train Accuracy 0.4491 | Val Accuracy 0.4191 | Test Accuracy 0.4710 | Best val. Accuracy 0.4715 | Best test Accuracy 0.4865
Epoch 0006/1000| Loss 1487.7223 | Train Accuracy 0.4527 | Val Accuracy 0.4213 | Test Accuracy 0.4774 | Best val. Accuracy 0.4715 | Best test Accuracy 0.4865
Epoch 0007/1000| Loss 1468.0387 | Train Accuracy 0.4574 | Val Accuracy 0.4274 | Test Accuracy 0.4820 | Best val. Accuracy 0.4715 | Best test Accuracy 0.4865
Epoch 0008/1000| Loss 1477.4609 | Train Accuracy 0.4651 | Val Accuracy 0.4347 | Test Accuracy 0.4867 | Best val. Accuracy 0.4715 | Best test Accuracy 0.4865
Epoch 0009/1000| Loss 1449.2841 | Train Accuracy 0.4815 | Val Accuracy 0.4497 | Test Accuracy 0.4926 | Best val. Accuracy 0.4715 | Best test Accuracy 0.4865
Epoch 0010/1000| Loss 1400.2501 | Train Accuracy 0.4937 | Val Accuracy 0.4621 | Test Accuracy 0.4972 | Best val. Accuracy 0.4715 | Best test Accuracy 0.4865
